size,classic_time_mean,classic_time_std,classic_co2_mean,classic_co2_std,heap_time_mean,heap_time_std,heap_co2_mean,heap_co2_std,nx_time_mean,nx_time_std,nx_co2_mean,nx_co2_std
100,0.01978260033307985,0.0009240633666604918,1.9295987760515012e-07,1.1995084430936722e-09,0.013033895200351253,0.0004641770396310215,1.7799419311072921e-07,4.553564403654934e-08,0.006056677133407599,0.000360678168117936,1.8772326157119022e-07,6.301795984000055e-10
500,0.13880566866670657,0.0021849112047866493,2.3661482846272384e-07,8.843375126706477e-10,0.03444038793386426,0.0024927775677545303,1.8523155959956056e-07,4.739442154654533e-08,0.024625264334705813,0.0015507934023282644,1.94260565150941e-07,6.07226433414739e-10
1000,0.49434760079990764,0.013632122290943002,3.6825299063625406e-07,5.1865490946232505e-09,0.062491547534106455,0.001766897557448511,2.0842306916888283e-07,6.944882799326744e-10,0.04876705146646903,0.02466858071693367,1.9055378763366108e-07,4.960516456626999e-08
5000,10.85444196153306,0.07513530365688523,4.227913643046794e-06,3.101355070513963e-08,0.32575662366580216,0.0273007214275989,2.8714404599887273e-07,7.429413293251679e-08,0.21615039993339452,0.003883607768976678,2.481204955331143e-07,6.347652119122778e-08
10000,41.38949596560027,1.1718203271905767,1.5294791697650356e-05,6.494847159085343e-07,0.6441915735316192,0.04516269938325091,3.97360260243302e-07,1.0310767568289149e-07,0.4571807714669073,0.03113918110986694,3.313744144188301e-07,8.556291357026459e-08
50000,1070.8011769496661,42.52041116995457,0.0003844485962406731,1.559382357937834e-05,4.761567489600566,0.35920883288853334,1.9591147177997303e-06,1.3743429225195107e-07,4.311657207200187,0.3044837903038241,1.6743214454880904e-06,4.43794101308734e-07
